Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"PRAJIND","347.75","358.50","335.60","356.05","13.75","4.02","4.24","14.88","407.00","92.75","-","-"
"SUZLON","7.70","7.85","7.65","7.80","0.30","4.00","1,190.73","92.88","9.45","3.45","155.74","9.86"
"MAHABANK","20.00","20.95","19.70","20.70","0.75","3.76","75.37","15.36","32.00","11.00","33.12","-5.05"
"SPARC","250.80","259.20","248.00","258.10","9.35","3.76","6.16","15.67","312.00","141.00","33.80","-4.67"
"INFIBEAM","41.55","43.00","41.15","42.90","1.55","3.75","41.80","17.61","113.70","36.70","-51.72","-5.09"
"ATGL","1,730.00","1,840.00","1,725.10","1,830.00","66.10","3.75","2.43","43.43","1,840.00","315.00","-","-"
"OBEROIRLTY","872.00","909.80","870.60","907.90","31.20","3.56","11.59","103.56","1,051.90","490.00","70.27","-10.47"
"TTKPRESTIG","10,744.00","11,384.40","10,653.45","10,985.30","376.85","3.55","0.77","85.77","11,619.90","5,560.00","85.21","-2.54"
"CENTRALBK","22.60","23.90","22.30","23.40","0.80","3.54","126.74","29.47","29.65","12.20","51.95","4.23"
"UNIONBANK","47.00","49.70","46.00","48.75","1.65","3.50","279.94","135.49","54.80","27.20","43.59","-9.81"
"GLENMARK","507.00","532.00","505.05","525.50","17.75","3.50","25.46","133.68","690.95","442.05","-1.87","0.18"
"CANBK","214.70","223.00","212.60","222.30","7.30","3.40","121.69","265.59","247.60","105.20","73.47","-8.44"
"DIXON","5,423.00","5,573.45","5,389.20","5,570.00","180.80","3.35","4.35","239.50","21,499.00","3,345.15","-53.01","-0.45"
"AEGISCHEM","235.70","243.55","235.50","242.60","7.40","3.15","10.84","26.07","387.90","191.75","-6.28","14.62"
"DELTACORP","278.00","286.50","278.00","284.50","8.55","3.10","89.93","255.38","308.50","138.00","86.25","-2.27"
"ALOKINDS","22.65","23.75","22.55","23.35","0.70","3.09","197.09","45.86","32.25","18.70","-4.89","1.97"
"FRETAIL","48.80","51.55","48.55","50.15","1.50","3.08","57.29","28.86","88.85","40.55","-37.86","1.72"
"IDFC","52.50","54.70","52.05","53.90","1.60","3.06","117.18","62.36","64.40","35.00","34.75","-8.57"
"CUMMINSIND","950.05","995.00","946.00","974.00","28.85","3.05","18.69","182.16","1,064.45","555.45","64.88","5.65"
"ASTRAL","2,224.00","2,294.45","2,205.00","2,291.00","67.00","3.01","4.01","90.28","2,630.00","1,393.00","61.58","-0.35"
"WELCORP","176.80","185.40","176.80","183.30","5.30","2.98","55.41","101.34","185.40","105.85","45.36","38.18"
"GRANULES","334.00","345.50","333.00","344.90","9.95","2.97","52.79","179.56","404.80","280.50","-11.90","7.58"
"HATHWAY","22.50","23.70","22.20","22.95","0.65","2.91","219.12","50.68","36.70","19.60","-35.44","9.03"
"CUB","146.75","150.50","146.35","150.20","4.20","2.88","24.96","37.18","189.80","142.15","-14.10","-11.91"
"LEMONTREE","48.55","50.65","48.45","50.20","1.40","2.87","35.73","17.74","59.90","27.00","11.06","-10.36"
"GRINDWELL","1,769.25","1,843.90","1,751.35","1,819.90","50.65","2.86","0.62","11.28","1,876.50","629.95","171.44","7.35"
"POLYPLEX","1,990.00","2,085.00","1,982.05","2,030.00","56.25","2.85","7.28","149.16","2,085.00","676.00","160.66","17.04"
"ASAHIINDIA","464.30","488.00","462.00","473.00","12.95","2.81","2.05","9.74","533.00","231.00","73.58","9.83"
"NILKAMAL","2,410.00","2,544.95","2,382.20","2,486.00","66.25","2.74","0.14","3.55","3,180.00","1,371.05","74.63","1.18"
"TIMKEN","1,909.60","1,990.00","1,909.60","1,960.50","50.90","2.67","0.40","7.76","2,156.70","1,055.00","70.69","8.16"
"UCOBANK","13.40","13.90","13.35","13.75","0.35","2.61","64.32","8.79","16.35","10.75","-0.36","-6.14"
"EIHOTEL","127.00","131.00","127.00","130.40","3.25","2.56","2.81","3.63","155.00","82.00","26.85","-14.66"
"INTELLECT","683.90","708.75","676.75","698.00","17.35","2.55","2.90","20.19","892.00","273.85","143.72","-0.11"
"JUBLPHARMA","590.00","605.75","587.60","600.90","14.70","2.51","0.98","5.85","1,046.95","575.00","-","-"
"HEG","1,777.00","1,882.35","1,777.00","1,824.85","44.20","2.48","2.53","46.64","2,629.00","804.00","116.36","-10.96"
"GODREJPROP","2,045.00","2,108.00","2,026.05","2,094.00","49.65","2.43","10.57","218.93","2,598.00","1,200.00","65.38","-13.51"
"SPANDANA","449.45","464.90","443.80","455.40","10.75","2.42","1.25","5.66","830.00","392.20","-36.91","-17.24"
"BSE","2,028.90","2,160.00","2,027.10","2,096.15","49.50","2.42","28.63","604.23","2,160.00","535.50","237.30","50.01"
"BATAINDIA","1,992.90","2,042.80","1,976.00","2,032.50","45.90","2.31","7.56","153.01","2,262.00","1,263.60","29.58","-6.24"
"RATNAMANI","1,959.00","2,025.00","1,959.00","2,009.00","44.10","2.24","0.25","5.03","2,305.30","1,451.20","25.57","-7.68"
"AAVAS","2,510.00","2,604.00","2,510.00","2,592.70","54.70","2.16","0.41","10.46","3,074.35","1,590.00","54.03","-6.81"
"GSPL","306.00","315.65","305.45","313.80","6.60","2.15","9.37","29.18","379.20","190.90","35.38","-1.10"
"SUPREMEIND","2,342.50","2,415.05","2,323.25","2,380.00","49.55","2.13","0.63","14.91","2,693.90","1,599.85","37.82","-2.94"
"RALLIS","258.00","264.15","257.10","263.00","5.45","2.12","4.56","11.97","362.60","243.85","-8.01","-2.59"
"CENTURYTEX","834.00","855.20","827.50","851.00","17.35","2.08","2.67","22.49","1,004.00","350.70","117.95","-1.51"
"TEAMLEASE","4,128.60","4,199.00","4,098.20","4,180.00","85.30","2.08","0.40","16.57","5,550.00","2,365.10","61.12","-11.06"
"VAKRANGEE","36.20","37.80","35.80","37.05","0.75","2.07","37.54","13.86","69.85","29.15","-17.02","-2.24"
"OFSS","4,239.00","4,375.00","4,236.05","4,304.75","80.35","1.90","1.35","58.34","5,145.00","2,931.05","36.27","-3.05"
"ZYDUSWELL","1,972.00","2,020.15","1,964.00","2,000.00","37.00","1.88","0.15","2.95","2,476.85","1,808.00","4.35","-3.02"
"VARROC","329.00","337.50","323.10","331.20","6.10","1.88","7.63","25.28","477.65","260.00","-18.53","13.79"
"GAEL","162.35","165.60","161.50","164.50","3.00","1.86","2.05","3.36","201.60","103.60","39.94","-3.80"
"UJJIVANSFB","19.35","19.65","19.25","19.55","0.35","1.82","25.29","4.92","44.60","17.00","-50.32","-7.35"
"LAURUSLABS","520.00","534.80","510.65","525.40","9.25","1.79","29.69","155.82","723.75","311.00","59.96","7.09"
"FEDERALBNK","90.75","92.90","90.00","92.35","1.55","1.71","96.59","88.53","107.65","57.65","38.66","-9.51"
"AFFLE","1,065.00","1,099.50","1,058.10","1,085.00","18.10","1.70","3.78","40.67","1,260.00","695.23","-70.67","-1.52"
"KALYANKJIL","70.25","72.15","70.10","71.70","1.20","1.70","10.84","7.76","89.75","56.30","-","-"
"JSWENERGY","300.00","304.85","295.00","300.50","5.00","1.69","4.55","13.58","408.00","64.00","-","-"
"SONACOMS","777.95","792.00","775.25","789.15","13.15","1.69","16.67","130.93","817.90","295.00","-","-"
"TATACOMM","1,370.00","1,394.90","1,350.10","1,393.00","23.20","1.69","2.82","39.03","1,540.00","888.30","35.51","9.82"
"GESHIP","300.00","309.70","299.95","304.80","5.05","1.68","3.22","9.82","445.00","237.95","7.46","-12.03"
"VAIBHAVGBL","571.20","587.00","566.50","581.00","9.55","1.67","0.89","5.14","1,050.00","404.47","-72.69","1.96"
"CRISIL","3,098.00","3,140.65","3,051.00","3,105.00","50.35","1.65","0.44","13.77","3,498.00","1,741.00","57.47","5.13"
"MFSL","972.50","996.50","968.50","988.00","15.90","1.64","4.64","45.50","1,148.05","621.50","55.43","-1.27"
"SHILPAMED","583.30","593.45","577.00","590.00","9.45","1.63","1.60","9.39","670.40","311.60","24.68","0.62"
"THYROCARE","1,080.00","1,105.00","1,061.50","1,100.25","17.40","1.61","1.16","12.66","1,465.00","831.00","7.30","-3.52"
"EQUITAS","125.95","129.20","125.70","128.10","2.00","1.59","6.60","8.44","145.00","58.35","76.57","-1.58"
"ASTRAZEN","3,098.00","3,166.25","3,092.20","3,138.50","48.70","1.58","0.18","5.50","4,910.00","2,958.20","-31.68","3.62"
"IRB","218.85","227.50","217.85","223.05","3.40","1.55","13.07","29.35","345.85","97.40","90.15","-3.40"
"UBL","1,565.30","1,608.00","1,562.20","1,592.90","24.20","1.54","3.56","56.67","1,785.80","1,038.60","39.73","-10.44"
"ASTERDM","190.90","197.75","188.10","196.00","2.90","1.50","10.44","20.07","237.00","132.55","18.97","0.77"
"CONCOR","639.20","656.35","639.20","649.00","9.55","1.49","11.16","72.60","754.40","365.05","60.86","-7.48"
"SUPRAJIT","409.40","423.00","408.80","414.50","6.10","1.49","2.88","12.02","474.90","179.00","106.78","9.74"
"FLUOROCHEM","2,466.00","2,498.00","2,454.00","2,491.00","35.90","1.46","1.40","34.67","2,539.70","525.10","326.40","23.36"
"NFL","51.45","53.00","51.40","52.25","0.75","1.46","5.22","2.72","73.70","33.35","41.41","-7.44"
"PHOENIXLTD","1,025.00","1,041.25","996.65","1,034.00","14.75","1.45","1.47","14.98","1,195.00","652.80","36.17","-5.09"
"SYMPHONY","969.25","984.00","966.05","978.30","13.90","1.44","0.12","1.21","1,528.80","870.00","7.90","-6.53"
"AMBER","3,213.80","3,283.40","3,204.90","3,260.00","45.85","1.43","0.32","10.31","3,788.65","2,202.10","41.20","-6.16"
"TATACOFFEE","213.00","219.25","212.10","215.75","2.95","1.39","25.13","54.37","254.40","98.40","92.29","-1.37"
"FORTIS","277.60","284.05","275.20","280.25","3.80","1.37","18.26","51.17","303.80","141.75","94.42","4.53"
"M&MFIN","165.90","168.00","164.00","167.30","2.25","1.36","25.16","41.82","224.30","138.55","-4.97","-17.38"
"GRAPHITE","425.10","447.35","425.10","433.15","5.80","1.36","13.51","59.32","815.90","264.05","56.74","-16.72"
"JAMNAAUTO","110.50","115.35","108.25","111.80","1.50","1.36","18.62","20.87","118.90","50.00","105.51","3.28"
"PAGEIND","39,650.00","40,149.65","39,526.40","40,000.00","531.45","1.35","0.17","66.19","41,775.00","23,412.00","64.76","0.58"
"ORIENTELEC","371.00","383.35","371.00","378.00","5.00","1.34","1.20","4.56","408.00","206.65","71.94","-1.73"
"DEEPAKNTR","2,331.25","2,359.95","2,317.00","2,350.00","30.75","1.33","4.61","107.78","3,020.00","802.00","173.41","-0.56"
"CEATLTD","1,168.75","1,185.30","1,161.45","1,179.00","15.35","1.32","0.66","7.71","1,763.00","1,020.00","1.89","-6.89"
"HEMIPROP","136.00","139.75","135.05","137.50","1.75","1.29","6.01","8.25","201.80","64.50","77.08","-9.69"
"MMTC","43.85","44.65","43.15","44.20","0.55","1.26","25.95","11.46","63.95","19.70","116.14","1.49"
"SUNTV","542.15","553.50","540.75","548.95","6.80","1.25","14.83","81.14","612.00","440.20","15.59","-5.53"
"UJJIVAN","140.00","142.35","139.85","141.25","1.70","1.22","6.12","8.62","310.95","126.05","-50.54","-15.80"
"GREAVESCOT","148.35","154.35","148.20","150.00","1.80","1.21","20.39","30.86","184.40","75.20","75.85","6.99"
"IOLCP","461.00","474.00","460.00","465.95","5.40","1.17","1.65","7.67","796.60","434.00","-40.35","-15.77"
"MANAPPURAM","175.50","177.90","174.35","177.00","2.05","1.17","27.55","48.46","224.50","139.10","1.96","-20.38"
"ICIL","252.00","255.75","248.65","252.50","2.85","1.14","3.76","9.48","315.00","113.00","54.96","-0.08"
"IPCALAB","2,018.10","2,085.20","2,018.10","2,055.00","22.90","1.13","6.97","143.66","2,766.20","1,785.40","-8.87","-5.83"
"TASTYBITE","13,465.00","13,650.00","13,376.00","13,511.10","148.50","1.11","0.01","1.31","21,487.00","10,725.00","20.85","-16.38"
"TCIEXP","2,245.00","2,308.00","2,220.00","2,275.00","24.75","1.10","0.48","10.99","2,376.85","811.05","150.01","16.61"
"JBCHEPHARM","1,615.95","1,646.00","1,613.00","1,633.05","17.10","1.06","0.76","12.36","1,985.00","956.05","62.78","-2.36"
"GLAXO","1,870.00","1,906.90","1,844.80","1,888.00","19.80","1.06","1.08","20.32","1,906.90","1,376.00","21.80","17.28"
"VIPIND","542.00","553.45","536.00","547.35","5.75","1.06","2.37","12.90","668.85","304.60","47.14","-16.38"
"RAMCOCEM","983.65","995.50","982.75","994.00","10.35","1.05","1.32","13.08","1,132.70","766.05","14.13","-7.96"
"KSB","1,275.90","1,294.00","1,260.05","1,287.45","12.60","0.99","0.07","0.89","1,411.00","566.60","118.30","-2.04"
"DCBBANK","87.35","87.80","86.25","87.60","0.85","0.98","5.97","5.21","126.50","79.55","-23.89","-14.29"
"TCNSBRANDS","808.60","818.80","800.55","818.00","7.90","0.98","0.10","0.79","932.00","392.00","92.72","3.72"
"EMAMILTD","531.00","534.70","524.80","533.50","5.10","0.97","1.75","9.28","621.80","393.80","25.90","-6.40"
"HAL","1,292.40","1,321.60","1,292.40","1,304.95","12.55","0.97","7.08","92.82","1,566.00","761.00","48.62","-4.68"
"GUJALKALI","632.00","649.85","632.00","640.30","6.10","0.96","1.53","9.81","846.00","304.65","87.63","-13.12"
"JKCEMENT","3,410.00","3,435.00","3,322.00","3,432.00","32.15","0.95","1.46","49.24","3,838.00","1,850.00","68.17","-6.10"
"NAVINFLUOR","3,915.00","3,964.85","3,895.00","3,949.15","37.15","0.95","0.81","31.96","4,212.75","2,217.40","54.86","13.08"
"CERA","4,878.00","4,979.95","4,851.00","4,900.00","45.85","0.94","0.10","4.85","6,450.00","3,011.55","49.96","-9.53"
"GODREJAGRO","536.00","544.00","535.95","539.90","4.95","0.93","1.35","7.29","746.80","475.20","1.89","-14.46"
"SHARDACROP","332.00","339.50","332.00","333.50","3.05","0.92","1.29","4.32","387.00","230.90","16.26","2.43"
"TRIDENT","56.00","56.85","52.25","54.65","0.50","0.92","722.61","400.47","59.90","7.85","441.09","36.11"
"ADVENZYMES","351.70","359.00","350.90","354.90","3.20","0.91","2.90","10.29","503.70","296.00","2.56","-1.85"
"KANSAINER","591.40","599.45","589.50","596.80","5.40","0.91","0.94","5.60","680.00","521.35","6.98","-0.81"
"LAXMIMACH","9,355.00","9,540.00","9,342.15","9,375.00","81.30","0.87","0.10","9.81","9,954.50","4,310.00","106.24","-3.11"
"COFORGE","5,240.00","5,338.75","5,220.00","5,314.95","44.70","0.85","1.73","91.55","6,030.00","2,300.00","111.95","-1.24"
"MAHINDCIE","242.80","245.55","241.60","243.90","2.00","0.83","1.41","3.45","312.00","150.20","56.50","-12.66"
"GILLETTE","5,481.00","5,579.00","5,481.00","5,524.15","44.35","0.81","0.05","2.74","6,275.00","5,351.20","-3.68","-3.30"
"SYNGENE","595.00","608.90","592.30","602.00","4.80","0.80","5.75","34.54","700.00","490.50","0.37","8.84"
"METROPOLIS","3,197.00","3,245.45","3,150.90","3,226.10","25.70","0.80","1.37","43.93","3,399.00","1,822.00","62.50","1.38"
"SCHAEFFLER","7,946.40","7,970.00","7,809.50","7,939.35","61.55","0.78","0.05","3.79","8,274.05","4,055.00","82.97","0.20"
"CARBORUNIV","889.10","911.65","888.00","900.90","7.00","0.78","0.99","8.87","1,010.20","354.00","141.27","4.96"
"FACT","113.90","116.45","112.35","114.50","0.85","0.75","0.93","1.07","153.00","48.05","115.23","-5.41"
"WOCKPHARMA","434.40","451.00","433.05","437.85","3.20","0.74","10.62","47.10","804.90","393.20","-13.39","-6.46"
"RCF","74.05","75.50","73.85","74.60","0.55","0.74","10.08","7.53","100.15","48.05","44.29","-7.21"
"SUDARSCHEM","567.50","573.00","565.75","571.90","4.15","0.73","0.41","2.34","794.00","440.00","16.38","-5.53"
"NATCOPHARM","865.65","872.85","862.55","870.90","6.20","0.72","1.46","12.71","1,189.00","771.50","-10.33","-0.32"
"HONAUT","39,554.50","39,930.00","39,469.05","39,837.35","282.85","0.72","0.01","5.05","49,990.00","30,670.00","28.46","-7.10"
"GALAXYSURF","2,852.00","2,878.00","2,847.55","2,866.00","20.55","0.72","0.12","3.56","3,585.65","1,810.00","50.17","-6.68"
"GNFC","416.70","425.75","410.70","421.00","2.95","0.71","6.01","25.03","518.20","202.30","73.07","-9.34"
"BHARATFORG","717.00","735.20","717.00","729.90","5.05","0.70","8.63","62.99","847.95","492.10","33.07","-12.49"
"JSL","172.25","174.00","171.50","173.10","1.20","0.70","6.42","11.10","207.90","60.45","153.81","-9.54"
"LXCHEM","429.00","437.00","429.00","431.50","2.95","0.69","3.72","16.09","628.00","143.25","-","-"
"RVNL","36.30","37.40","36.20","36.55","0.25","0.69","49.15","18.02","44.80","20.60","60.31","-7.00"
"BIRLACORPN","1,366.00","1,396.00","1,362.65","1,380.00","9.20","0.67","0.42","5.82","1,650.00","662.00","79.43","-14.31"
"WESTLIFE","583.90","589.75","576.25","588.00","3.85","0.66","0.63","3.70","629.00","385.10","36.40","-0.15"
"SOLARINDS","2,713.70","2,730.00","2,690.80","2,715.00","17.60","0.65","0.21","5.77","2,938.00","1,030.00","158.84","8.21"
"IRCON","47.45","47.80","46.85","47.10","0.30","0.64","24.49","11.59","54.25","39.68","-47.67","-5.14"
"AMARAJABAT","640.10","649.00","639.10","643.00","3.90","0.61","7.58","48.92","1,025.55","607.70","-30.73","-9.06"
"PRESTIGE","465.00","479.00","447.00","470.30","2.80","0.60","8.28","39.02","522.00","247.85","60.73","-8.65"
"SRF","2,133.45","2,156.00","2,122.45","2,146.00","12.55","0.59","3.98","85.15","2,538.00","1,021.69","-60.44","-1.22"
"SRTRANSFIN","1,500.00","1,517.05","1,475.55","1,502.55","8.50","0.57","5.49","82.10","1,696.40","918.10","41.44","-7.02"
"LINDEINDIA","2,488.00","2,521.00","2,480.20","2,497.60","14.25","0.57","0.29","7.27","2,945.00","879.90","176.02","-6.12"
"MAXHEALTH","378.85","387.50","378.40","380.50","2.10","0.55","8.13","31.23","402.60","128.50","173.15","12.51"
"TATAELXSI","5,974.00","6,050.00","5,877.00","5,975.95","32.55","0.55","1.66","98.93","6,730.00","1,468.00","260.55","-4.69"
"CAPLIPOINT","792.95","804.60","790.00","795.00","4.20","0.53","0.58","4.60","1,034.80","401.00","53.22","-7.19"
"BBTC","1,107.05","1,145.90","1,102.00","1,129.95","5.95","0.53","2.20","24.73","1,424.95","980.50","-17.50","2.20"
"SUMICHEM","374.00","378.00","371.60","374.80","1.95","0.52","1.36","5.11","459.90","268.20","22.60","-4.00"
"HIKAL","517.20","526.35","514.00","519.90","2.70","0.52","1.48","7.72","742.00","143.00","195.06","0.01"
"VINATIORGA","1,879.70","1,899.15","1,870.00","1,890.40","9.40","0.50","0.25","4.68","2,184.00","1,100.00","62.91","-6.15"
"HUDCO","41.10","41.85","40.95","41.30","0.20","0.49","16.98","7.04","58.25","35.50","3.38","-7.50"
"CASTROLIND","125.95","126.70","125.60","126.15","0.60","0.48","5.65","7.12","154.90","117.70","-6.69","-9.60"
"APLLTD","809.00","815.00","800.00","813.50","3.85","0.48","3.13","25.30","1,145.00","720.35","-22.83","4.25"
"JKTYRE","138.20","140.00","137.65","138.85","0.65","0.47","5.68","7.88","171.70","66.30","64.61","-4.34"
"KRBL","245.00","249.40","244.60","245.70","1.15","0.47","3.16","7.81","337.95","173.15","-8.46","-12.75"
"BHEL","63.95","64.90","63.50","64.45","0.30","0.47","345.05","221.76","80.35","30.60","76.09","-10.61"
"NIACL","145.95","148.60","145.25","145.80","0.65","0.45","2.67","3.92","197.00","115.05","14.85","-7.52"
"TATACHEM","935.85","952.00","931.65","939.75","3.90","0.42","23.07","217.72","1,158.00","440.90","84.03","-0.86"
"ENGINERSIN","71.75","72.75","71.65","72.05","0.30","0.42","9.91","7.17","93.30","67.65","-7.75","-1.30"
"CDSL","1,524.00","1,564.70","1,519.60","1,530.00","5.90","0.39","10.46","161.10","1,624.00","475.00","191.07","5.23"
"SOBHA","894.50","918.00","887.00","900.50","3.45","0.38","8.18","73.71","980.00","297.05","178.62","-0.72"
"ZEEL","368.95","373.50","366.40","369.30","1.35","0.37","148.12","548.73","373.50","166.80","71.33","13.77"
"TORNTPOWER","580.85","582.40","567.90","580.00","2.15","0.37","6.28","36.10","591.70","293.00","75.86","9.48"
"GARFIBRES","3,324.00","3,350.00","3,274.00","3,320.00","11.85","0.36","0.06","2.00","4,030.00","2,025.00","51.01","-9.28"
"VENKEYS","2,601.00","2,644.20","2,585.00","2,598.00","9.25","0.36","0.51","13.18","3,955.00","1,495.10","52.17","-7.59"
"SFL","3,257.50","3,310.00","3,253.75","3,298.85","11.50","0.35","0.15","5.03","3,487.00","1,568.25","93.98","22.06"
"GUJGASLTD","665.15","675.00","662.55","664.00","2.30","0.35","5.27","35.24","786.00","338.50","91.00","2.91"
"WELSPUNIND","144.00","147.00","142.60","145.00","0.50","0.35","13.27","19.29","170.70","64.85","115.77","3.17"
"SJVN","28.50","28.80","28.45","28.60","0.10","0.35","11.27","3.22","33.75","24.05","13.49","-6.54"
"JKLAKSHMI","630.50","635.50","625.50","626.80","2.05","0.33","0.35","2.21","816.00","308.00","77.69","-4.01"
"HAPPSTMNDS","1,293.00","1,328.00","1,285.00","1,293.00","4.20","0.33","0.68","8.77","1,580.00","311.00","-","-"
"AVANTIFEED","543.00","549.00","538.05","542.35","1.80","0.33","1.07","5.79","674.85","410.00","1.83","-5.50"
"BALKRISIND","2,222.00","2,270.00","2,222.00","2,250.90","7.50","0.33","1.93","43.40","2,723.80","1,515.50","34.94","-9.85"
"PRINCEPIPE","720.00","734.80","720.00","729.00","2.30","0.32","1.26","9.14","897.00","244.55","162.61","-15.15"
"EQUITASBNK","62.25","62.75","61.50","62.20","0.20","0.32","2.69","1.67","76.80","34.50","65.43","-4.45"
"CHOLAHLDNG","684.00","689.95","679.50","685.10","2.15","0.31","6.44","44.16","762.30","434.10","30.00","-2.14"
"APOLLOTYRE","217.30","218.30","215.05","216.85","0.65","0.30","12.06","26.15","261.25","170.35","18.14","-6.25"
"RITES","269.40","271.50","267.95","268.80","0.75","0.28","0.79","2.13","317.90","232.20","-0.44","-5.85"
"IFBIND","1,171.80","1,182.70","1,161.40","1,175.00","3.20","0.27","0.08","0.96","1,502.90","876.25","21.78","-8.13"
"BLUESTARCO","981.00","999.00","981.00","986.25","2.55","0.26","0.28","2.74","1,091.50","702.00","23.97","-6.11"
"ISEC","777.00","791.65","777.00","784.55","2.05","0.26","1.82","14.26","896.05","376.90","65.10","0.69"
"TATASTLLP","762.40","769.00","759.00","764.40","2.00","0.26","0.49","3.74","1,173.00","468.50","46.10","-10.78"
"BAYERCROP","4,749.00","4,749.85","4,712.50","4,735.00","11.60","0.25","0.03","1.55","6,130.00","4,512.00","-9.91","-3.79"
"ASHOKLEY","127.75","128.55","126.70","127.75","0.30","0.24","89.50","114.31","153.50","87.25","33.98","-14.75"
"MRPL","45.00","45.65","44.75","45.00","0.10","0.22","12.37","5.58","57.80","30.45","28.94","-10.80"
"PETRONET","228.05","229.45","226.35","228.35","0.50","0.22","7.76","17.72","275.35","211.40","-11.39","-3.08"
"IRFC","23.60","23.80","23.55","23.65","0.05","0.21","53.19","12.59","26.70","20.80","-","-"
"SIS","467.00","471.00","465.00","467.80","0.90","0.19","1.04","4.89","549.00","353.85","5.81","3.86"
"CSBBANK","274.90","279.00","273.00","274.00","0.50","0.18","0.62","1.71","374.00","193.20","17.95","-8.32"
"EXIDEIND","168.40","170.05","167.40","168.70","0.30","0.18","18.13","30.57","219.30","156.75","-12.48","-8.34"
"KSCL","509.75","521.75","505.50","508.00","0.85","0.17","2.68","13.71","816.65","472.10","-2.40","-5.74"
"KALPATPOWR","389.00","390.00","380.20","383.00","0.60","0.16","2.78","10.68","496.00","277.00","17.79","-8.83"
"STLTECH","295.00","300.00","291.35","294.10","0.40","0.14","9.36","27.70","318.00","150.00","73.51","7.97"
"JYOTHYLAB","149.65","150.60","149.25","149.50","0.20","0.13","17.07","25.52","187.30","133.60","5.84","-7.32"
"HOMEFIRST","855.00","861.05","846.30","854.00","0.90","0.11","0.55","4.72","921.30","440.00","-","-"
"BDL","402.80","408.30","400.70","402.50","0.40","0.10","0.99","4.01","455.00","297.10","16.87","-6.42"
"UFLEX","543.15","550.00","536.15","543.60","0.45","0.08","1.76","9.54","658.00","337.55","38.80","3.73"
