Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"SPANDANA","449.45","464.90","443.80","455.40","10.75","2.42","1.25","5.66","830.00","392.20","-36.91","-17.24"
"RATNAMANI","1,959.00","2,025.00","1,959.00","2,009.00","44.10","2.24","0.25","5.03","2,305.30","1,451.20","25.57","-7.68"
"RALLIS","258.00","264.15","257.10","263.00","5.45","2.12","4.56","11.97","362.60","243.85","-8.01","-2.59"
"CENTURYTEX","834.00","855.20","827.50","851.00","17.35","2.08","2.67","22.49","1,004.00","350.70","117.95","-1.51"
"TEAMLEASE","4,128.60","4,199.00","4,098.20","4,180.00","85.30","2.08","0.40","16.57","5,550.00","2,365.10","61.12","-11.06"
"VAKRANGEE","36.20","37.80","35.80","37.05","0.75","2.07","37.54","13.86","69.85","29.15","-17.02","-2.24"
"VARROC","329.00","337.50","323.10","331.20","6.10","1.88","7.63","25.28","477.65","260.00","-18.53","13.79"
"GAEL","162.35","165.60","161.50","164.50","3.00","1.86","2.05","3.36","201.60","103.60","39.94","-3.80"
"UJJIVANSFB","19.35","19.65","19.25","19.55","0.35","1.82","25.29","4.92","44.60","17.00","-50.32","-7.35"
"KALYANKJIL","70.25","72.15","70.10","71.70","1.20","1.70","10.84","7.76","89.75","56.30","-","-"
"GESHIP","300.00","309.70","299.95","304.80","5.05","1.68","3.22","9.82","445.00","237.95","7.46","-12.03"
"SHILPAMED","583.30","593.45","577.00","590.00","9.45","1.63","1.60","9.39","670.40","311.60","24.68","0.62"
"THYROCARE","1,080.00","1,105.00","1,061.50","1,100.25","17.40","1.61","1.16","12.66","1,465.00","831.00","7.30","-3.52"
"EQUITAS","125.95","129.20","125.70","128.10","2.00","1.59","6.60","8.44","145.00","58.35","76.57","-1.58"
"ASTRAZEN","3,098.00","3,166.25","3,092.20","3,138.50","48.70","1.58","0.18","5.50","4,910.00","2,958.20","-31.68","3.62"
"IRB","218.85","227.50","217.85","223.05","3.40","1.55","13.07","29.35","345.85","97.40","90.15","-3.40"
"ASTERDM","190.90","197.75","188.10","196.00","2.90","1.50","10.44","20.07","237.00","132.55","18.97","0.77"
"SUPRAJIT","409.40","423.00","408.80","414.50","6.10","1.49","2.88","12.02","474.90","179.00","106.78","9.74"
"FLUOROCHEM","2,466.00","2,498.00","2,454.00","2,491.00","35.90","1.46","1.40","34.67","2,539.70","525.10","326.40","23.36"
"NFL","51.45","53.00","51.40","52.25","0.75","1.46","5.22","2.72","73.70","33.35","41.41","-7.44"
"SYMPHONY","969.25","984.00","966.05","978.30","13.90","1.44","0.12","1.21","1,528.80","870.00","7.90","-6.53"
"AMBER","3,213.80","3,283.40","3,204.90","3,260.00","45.85","1.43","0.32","10.31","3,788.65","2,202.10","41.20","-6.16"
"TATACOFFEE","213.00","219.25","212.10","215.75","2.95","1.39","25.13","54.37","254.40","98.40","92.29","-1.37"
"GRAPHITE","425.10","447.35","425.10","433.15","5.80","1.36","13.51","59.32","815.90","264.05","56.74","-16.72"
"JAMNAAUTO","110.50","115.35","108.25","111.80","1.50","1.36","18.62","20.87","118.90","50.00","105.51","3.28"
"ORIENTELEC","371.00","383.35","371.00","378.00","5.00","1.34","1.20","4.56","408.00","206.65","71.94","-1.73"
"CEATLTD","1,168.75","1,185.30","1,161.45","1,179.00","15.35","1.32","0.66","7.71","1,763.00","1,020.00","1.89","-6.89"
"HEMIPROP","136.00","139.75","135.05","137.50","1.75","1.29","6.01","8.25","201.80","64.50","77.08","-9.69"
"MMTC","43.85","44.65","43.15","44.20","0.55","1.26","25.95","11.46","63.95","19.70","116.14","1.49"
"UJJIVAN","140.00","142.35","139.85","141.25","1.70","1.22","6.12","8.62","310.95","126.05","-50.54","-15.80"
"GREAVESCOT","148.35","154.35","148.20","150.00","1.80","1.21","20.39","30.86","184.40","75.20","75.85","6.99"
"IOLCP","461.00","474.00","460.00","465.95","5.40","1.17","1.65","7.67","796.60","434.00","-40.35","-15.77"
"ICIL","252.00","255.75","248.65","252.50","2.85","1.14","3.76","9.48","315.00","113.00","54.96","-0.08"
"TASTYBITE","13,465.00","13,650.00","13,376.00","13,511.10","148.50","1.11","0.01","1.31","21,487.00","10,725.00","20.85","-16.38"
"TCIEXP","2,245.00","2,308.00","2,220.00","2,275.00","24.75","1.10","0.48","10.99","2,376.85","811.05","150.01","16.61"
"VIPIND","542.00","553.45","536.00","547.35","5.75","1.06","2.37","12.90","668.85","304.60","47.14","-16.38"
"JBCHEPHARM","1,615.95","1,646.00","1,613.00","1,633.05","17.10","1.06","0.76","12.36","1,985.00","956.05","62.78","-2.36"
"KSB","1,275.90","1,294.00","1,260.05","1,287.45","12.60","0.99","0.07","0.89","1,411.00","566.60","118.30","-2.04"
"DCBBANK","87.35","87.80","86.25","87.60","0.85","0.98","5.97","5.21","126.50","79.55","-23.89","-14.29"
"TCNSBRANDS","808.60","818.80","800.55","818.00","7.90","0.98","0.10","0.79","932.00","392.00","92.72","3.72"
"GUJALKALI","632.00","649.85","632.00","640.30","6.10","0.96","1.53","9.81","846.00","304.65","87.63","-13.12"
"CERA","4,878.00","4,979.95","4,851.00","4,900.00","45.85","0.94","0.10","4.85","6,450.00","3,011.55","49.96","-9.53"
"GODREJAGRO","536.00","544.00","535.95","539.90","4.95","0.93","1.35","7.29","746.80","475.20","1.89","-14.46"
"SHARDACROP","332.00","339.50","332.00","333.50","3.05","0.92","1.29","4.32","387.00","230.90","16.26","2.43"
"TRIDENT","56.00","56.85","52.25","54.65","0.50","0.92","722.61","400.47","59.90","7.85","441.09","36.11"
"ADVENZYMES","351.70","359.00","350.90","354.90","3.20","0.91","2.90","10.29","503.70","296.00","2.56","-1.85"
"LAXMIMACH","9,355.00","9,540.00","9,342.15","9,375.00","81.30","0.87","0.10","9.81","9,954.50","4,310.00","106.24","-3.11"
"MAHINDCIE","242.80","245.55","241.60","243.90","2.00","0.83","1.41","3.45","312.00","150.20","56.50","-12.66"
"CARBORUNIV","889.10","911.65","888.00","900.90","7.00","0.78","0.99","8.87","1,010.20","354.00","141.27","4.96"
"FACT","113.90","116.45","112.35","114.50","0.85","0.75","0.93","1.07","153.00","48.05","115.23","-5.41"
"RCF","74.05","75.50","73.85","74.60","0.55","0.74","10.08","7.53","100.15","48.05","44.29","-7.21"
"WOCKPHARMA","434.40","451.00","433.05","437.85","3.20","0.74","10.62","47.10","804.90","393.20","-13.39","-6.46"
"SUDARSCHEM","567.50","573.00","565.75","571.90","4.15","0.73","0.41","2.34","794.00","440.00","16.38","-5.53"
"GALAXYSURF","2,852.00","2,878.00","2,847.55","2,866.00","20.55","0.72","0.12","3.56","3,585.65","1,810.00","50.17","-6.68"
"GNFC","416.70","425.75","410.70","421.00","2.95","0.71","6.01","25.03","518.20","202.30","73.07","-9.34"
"JSL","172.25","174.00","171.50","173.10","1.20","0.70","6.42","11.10","207.90","60.45","153.81","-9.54"
"LXCHEM","429.00","437.00","429.00","431.50","2.95","0.69","3.72","16.09","628.00","143.25","-","-"
"RVNL","36.30","37.40","36.20","36.55","0.25","0.69","49.15","18.02","44.80","20.60","60.31","-7.00"
"BIRLACORPN","1,366.00","1,396.00","1,362.65","1,380.00","9.20","0.67","0.42","5.82","1,650.00","662.00","79.43","-14.31"
"WESTLIFE","583.90","589.75","576.25","588.00","3.85","0.66","0.63","3.70","629.00","385.10","36.40","-0.15"
"IRCON","47.45","47.80","46.85","47.10","0.30","0.64","24.49","11.59","54.25","39.68","-47.67","-5.14"
"CAPLIPOINT","792.95","804.60","790.00","795.00","4.20","0.53","0.58","4.60","1,034.80","401.00","53.22","-7.19"
"BBTC","1,107.05","1,145.90","1,102.00","1,129.95","5.95","0.53","2.20","24.73","1,424.95","980.50","-17.50","2.20"
"HIKAL","517.20","526.35","514.00","519.90","2.70","0.52","1.48","7.72","742.00","143.00","195.06","0.01"
"HUDCO","41.10","41.85","40.95","41.30","0.20","0.49","16.98","7.04","58.25","35.50","3.38","-7.50"
"KRBL","245.00","249.40","244.60","245.70","1.15","0.47","3.16","7.81","337.95","173.15","-8.46","-12.75"
"JKTYRE","138.20","140.00","137.65","138.85","0.65","0.47","5.68","7.88","171.70","66.30","64.61","-4.34"
"ENGINERSIN","71.75","72.75","71.65","72.05","0.30","0.42","9.91","7.17","93.30","67.65","-7.75","-1.30"
"CDSL","1,524.00","1,564.70","1,519.60","1,530.00","5.90","0.39","10.46","161.10","1,624.00","475.00","191.07","5.23"
"SOBHA","894.50","918.00","887.00","900.50","3.45","0.38","8.18","73.71","980.00","297.05","178.62","-0.72"
"GARFIBRES","3,324.00","3,350.00","3,274.00","3,320.00","11.85","0.36","0.06","2.00","4,030.00","2,025.00","51.01","-9.28"
"VENKEYS","2,601.00","2,644.20","2,585.00","2,598.00","9.25","0.36","0.51","13.18","3,955.00","1,495.10","52.17","-7.59"
"SFL","3,257.50","3,310.00","3,253.75","3,298.85","11.50","0.35","0.15","5.03","3,487.00","1,568.25","93.98","22.06"
"WELSPUNIND","144.00","147.00","142.60","145.00","0.50","0.35","13.27","19.29","170.70","64.85","115.77","3.17"
"SJVN","28.50","28.80","28.45","28.60","0.10","0.35","11.27","3.22","33.75","24.05","13.49","-6.54"
"JKLAKSHMI","630.50","635.50","625.50","626.80","2.05","0.33","0.35","2.21","816.00","308.00","77.69","-4.01"
"AVANTIFEED","543.00","549.00","538.05","542.35","1.80","0.33","1.07","5.79","674.85","410.00","1.83","-5.50"
"HAPPSTMNDS","1,293.00","1,328.00","1,285.00","1,293.00","4.20","0.33","0.68","8.77","1,580.00","311.00","-","-"
"PRINCEPIPE","720.00","734.80","720.00","729.00","2.30","0.32","1.26","9.14","897.00","244.55","162.61","-15.15"
"EQUITASBNK","62.25","62.75","61.50","62.20","0.20","0.32","2.69","1.67","76.80","34.50","65.43","-4.45"
"RITES","269.40","271.50","267.95","268.80","0.75","0.28","0.79","2.13","317.90","232.20","-0.44","-5.85"
"IFBIND","1,171.80","1,182.70","1,161.40","1,175.00","3.20","0.27","0.08","0.96","1,502.90","876.25","21.78","-8.13"
"TATASTLLP","762.40","769.00","759.00","764.40","2.00","0.26","0.49","3.74","1,173.00","468.50","46.10","-10.78"
"BLUESTARCO","981.00","999.00","981.00","986.25","2.55","0.26","0.28","2.74","1,091.50","702.00","23.97","-6.11"
"MRPL","45.00","45.65","44.75","45.00","0.10","0.22","12.37","5.58","57.80","30.45","28.94","-10.80"
"SIS","467.00","471.00","465.00","467.80","0.90","0.19","1.04","4.89","549.00","353.85","5.81","3.86"
"CSBBANK","274.90","279.00","273.00","274.00","0.50","0.18","0.62","1.71","374.00","193.20","17.95","-8.32"
"KSCL","509.75","521.75","505.50","508.00","0.85","0.17","2.68","13.71","816.65","472.10","-2.40","-5.74"
"KALPATPOWR","389.00","390.00","380.20","383.00","0.60","0.16","2.78","10.68","496.00","277.00","17.79","-8.83"
"STLTECH","295.00","300.00","291.35","294.10","0.40","0.14","9.36","27.70","318.00","150.00","73.51","7.97"
"JYOTHYLAB","149.65","150.60","149.25","149.50","0.20","0.13","17.07","25.52","187.30","133.60","5.84","-7.32"
"HOMEFIRST","855.00","861.05","846.30","854.00","0.90","0.11","0.55","4.72","921.30","440.00","-","-"
"BDL","402.80","408.30","400.70","402.50","0.40","0.10","0.99","4.01","455.00","297.10","16.87","-6.42"
"NH","574.00","590.00","572.20","574.10","0.45","0.08","1.76","10.24","626.70","372.55","50.88","4.40"
"UFLEX","543.15","550.00","536.15","543.60","0.45","0.08","1.76","9.54","658.00","337.55","38.80","3.73"
"DHANUKA","750.00","761.05","748.05","750.00","0.45","0.06","0.23","1.77","1,053.90","658.00","1.46","-3.17"
"FINPIPE","204.00","206.15","204.00","205.00","0.10","0.05","6.51","13.35","244.50","114.40","-68.59","-10.03"
"ANURAS","824.50","829.95","817.80","822.95","0.40","0.05","0.63","5.22","877.80","474.00","-","-"
"NAZARA","2,329.15","2,355.00","2,310.00","2,330.00","0.85","0.04","0.15","3.43","3,356.00","1,432.00","-","-"
"SCI","150.40","152.40","148.15","149.65","0.05","0.03","15.38","23.00","160.20","69.65","103.05","10.32"
"SOLARA","1,160.00","1,174.90","1,141.10","1,149.50","0.30","0.03","0.32","3.64","1,859.95","1,001.10","-6.79","-16.35"
"BRIGADE","492.50","496.10","488.00","494.50","0.05","0.01","1.75","8.62","528.80","219.80","113.88","0.08"
"SPICEJET","69.85","70.75","69.10","70.45","0.00","0.00","23.63","16.61","108.00","59.40","-24.85","-5.25"
"CHAMBLFERT","401.80","408.75","393.70","401.00","0.00","0.00","15.01","60.47","451.00","200.35","89.37","12.37"
"FDC","296.00","300.45","293.00","294.80","-0.05","-0.02","1.79","5.30","404.90","255.20","-17.61","-9.67"
"UTIAMC","1,010.00","1,024.05","979.00","1,007.00","-0.25","-0.02","6.62","66.62","1,216.20","505.00","78.36","-12.90"
"REDINGTON","156.10","159.45","154.10","155.25","-0.05","-0.03","66.71","104.48","179.00","62.13","16.95","7.22"
"SUPPETRO","728.90","729.00","713.30","720.35","-0.20","-0.03","0.68","4.90","818.75","325.70","96.55","5.36"
"TRITURBINE","183.50","187.35","182.85","184.25","-0.10","-0.05","1.93","3.56","229.10","74.00","126.91","-12.53"
"CENTURYPLY","635.00","644.15","633.40","635.15","-0.40","-0.06","0.86","5.52","712.90","206.00","182.92","-3.71"
"EIDPARRY","474.00","479.00","469.50","475.60","-0.35","-0.07","0.98","4.65","532.90","302.50","44.71","-5.50"
"KNRCON","290.80","291.65","287.15","290.50","-0.20","-0.07","1.43","4.14","343.90","145.55","-4.68","-3.63"
"BALRAMCHIN","334.95","339.50","332.10","334.45","-0.25","-0.07","5.02","16.87","398.00","155.55","101.29","2.29"
"GSFC","119.10","121.40","118.60","119.35","-0.10","-0.08","10.62","12.76","150.75","66.00","54.60","-10.80"
"NLCINDIA","61.20","62.30","61.05","61.20","-0.05","-0.08","11.69","7.19","80.10","46.20","12.50","-7.97"
"ERIS","728.05","733.75","716.80","728.90","-0.75","-0.10","1.16","8.40","863.00","473.50","36.28","-8.14"
"PRSMJOHNSN","132.05","134.00","129.30","131.90","-0.15","-0.11","2.14","2.82","149.45","79.00","48.87","-3.30"
"INDIACEM","193.35","194.95","191.70","192.50","-0.25","-0.13","10.67","20.60","232.00","134.10","25.78","-13.72"
"MIDHANI","186.95","187.90","184.30","185.95","-0.30","-0.16","0.97","1.80","221.85","174.00","-8.83","-6.37"
"INDIGOPNTS","2,069.85","2,085.00","2,062.35","2,066.00","-3.85","-0.19","0.18","3.73","3,329.95","2,050.00","-","-"
"COCHINSHIP","350.50","351.65","348.00","348.50","-0.75","-0.21","0.88","3.07","433.90","336.10","-2.75","-4.30"
"ELGIEQUIP","309.00","315.30","305.90","306.95","-0.70","-0.23","2.97","9.26","321.00","133.65","107.54","39.90"
"ROSSARI","1,373.00","1,382.00","1,348.00","1,360.00","-3.10","-0.23","0.36","4.88","1,619.00","805.00","62.83","-2.13"
"MHRIL","211.90","213.70","208.90","209.90","-0.50","-0.24","2.37","4.98","267.50","124.00","-1.43","-14.29"
"NOCIL","241.05","243.70","239.10","239.75","-0.60","-0.25","3.86","9.30","321.30","135.00","68.78","-8.18"
"VGUARD","243.90","243.90","235.50","238.00","-0.60","-0.25","1.83","4.36","285.00","177.95","25.96","-8.55"
"KPITTECH","500.35","505.55","495.15","500.00","-1.40","-0.28","6.11","30.50","531.00","104.35","344.25","33.89"
"GODFRYPHLP","1,255.00","1,255.00","1,224.90","1,232.80","-3.55","-0.29","0.12","1.44","1,408.75","841.50","21.20","-4.99"
"SONATSOFTW","837.05","843.55","826.00","830.40","-2.45","-0.29","0.84","7.03","1,024.90","340.00","134.71","-4.92"
"RAIN","220.40","222.00","219.00","219.90","-0.65","-0.29","11.96","26.36","272.75","110.55","61.63","-0.81"
"KARURVYSYA","50.95","51.45","49.90","50.60","-0.15","-0.30","30.27","15.35","64.55","38.40","13.45","-9.48"
"ASHOKA","97.15","98.80","96.75","96.80","-0.30","-0.31","13.56","13.24","125.00","76.20","1.36","-12.44"
"RHIM","351.90","358.80","347.35","351.45","-1.10","-0.31","0.74","2.61","407.00","196.75","-","-"
"MAHLOG","690.00","695.00","684.25","690.00","-2.20","-0.32","0.26","1.78","821.00","370.05","74.82","-2.23"
"CGCL","507.75","515.15","503.00","504.15","-1.65","-0.33","0.17","0.88","579.50","287.00","71.16","1.25"
"QUESS","835.00","844.50","825.20","831.90","-2.75","-0.33","0.34","2.80","989.90","413.65","68.37","-5.21"
"ANGELONE","1,130.00","1,140.00","1,125.00","1,127.00","-3.70","-0.33","1.21","13.73","1,689.00","286.35","-","-"
"MOIL","173.30","174.65","171.20","172.50","-0.60","-0.35","2.46","4.25","207.95","129.50","20.00","-0.06"
"JUBLINGREA","602.80","607.00","596.00","599.50","-2.25","-0.37","1.98","11.94","838.75","241.30","-","-"
"BASF","2,904.95","2,904.95","2,835.20","2,872.00","-11.10","-0.39","0.22","6.17","3,930.00","1,486.30","76.89","-8.35"
"GPPL","101.95","102.40","100.90","101.55","-0.40","-0.39","3.66","3.73","124.30","85.55","8.84","-11.23"
"STARCEMENT","97.90","97.90","96.50","96.50","-0.40","-0.41","0.79","0.77","120.00","75.35","-0.31","-7.66"
"HEIDELBERG","226.90","228.90","224.50","225.95","-0.95","-0.42","0.81","1.83","284.95","200.40","6.53","-10.85"
"GMMPFAUDLR","4,619.70","4,645.00","4,522.55","4,580.00","-19.85","-0.43","0.10","4.79","5,435.00","3,469.45","22.28","-5.06"
"IIFL","310.70","314.50","306.10","308.00","-1.35","-0.44","13.96","43.36","374.90","100.40","168.64","-12.26"
"LAOPALA","423.50","434.40","416.50","419.95","-2.00","-0.47","4.31","18.36","450.90","200.25","82.63","17.96"
"POWERINDIA","2,633.25","2,668.00","2,590.00","2,604.00","-12.95","-0.49","0.22","5.73","2,855.00","1,165.50","118.18","12.68"
"BALAMINES","3,317.35","3,339.00","3,277.00","3,299.40","-17.95","-0.54","0.39","12.90","5,223.55","850.00","250.59","0.87"
"JSLHISAR","316.70","321.90","315.00","318.00","-1.90","-0.59","0.75","2.38","358.80","109.05","147.76","-5.74"
"PGHL","5,262.00","5,375.05","5,211.35","5,269.90","-31.85","-0.60","0.04","2.12","7,500.00","4,903.00","-21.51","-2.48"
"VTL","1,989.95","1,999.50","1,952.10","1,968.70","-12.65","-0.64","0.22","4.44","2,167.35","951.00","101.28","-5.48"
"PNBHOUSING","586.70","588.05","573.00","584.00","-4.10","-0.70","4.81","27.92","925.00","317.55","54.68","23.68"
"MCX","1,747.00","1,779.80","1,730.25","1,734.00","-12.55","-0.72","8.42","147.71","2,135.00","1,432.30","3.21","-5.70"
"CESC","88.50","90.45","87.25","87.85","-0.65","-0.73","31.78","28.14","102.45","56.11","-86.07","-3.78"
"DCMSHRIRAM","1,006.00","1,007.90","979.10","989.95","-7.30","-0.73","0.29","2.86","1,250.00","370.15","154.36","-4.94"
"FINEORG","3,711.00","3,740.00","3,650.00","3,668.00","-27.70","-0.75","0.14","5.04","3,888.00","2,127.15","44.51","9.30"
"NCC","76.90","77.55","75.40","76.35","-0.60","-0.78","21.71","16.57","99.85","47.40","32.78","-5.62"
"JKPAPER","216.25","216.85","211.45","214.75","-1.80","-0.83","4.16","8.88","284.90","98.00","107.39","-6.00"
"NESCO","595.70","605.65","594.65","595.65","-5.05","-0.84","0.32","1.90","696.80","465.00","7.77","-4.57"
"JINDALSAW","106.65","109.40","105.20","105.70","-0.90","-0.84","12.00","12.82","147.60","67.50","43.52","-6.09"
"VMART","3,716.50","3,770.00","3,605.55","3,675.00","-31.55","-0.85","0.14","5.32","4,848.80","2,221.00","55.11","-10.38"
"RAILTEL","122.50","123.30","122.15","122.40","-1.05","-0.85","4.31","5.28","189.70","101.00","-","-"
"SHRIRAMCIT","2,045.00","2,055.20","2,012.35","2,030.00","-17.55","-0.86","0.14","2.78","2,602.00","863.65","85.88","-7.31"
"KEC","445.30","451.05","435.90","438.50","-3.85","-0.87","2.41","10.69","550.00","317.55","18.11","-6.20"
"CAMS","2,928.95","2,933.40","2,895.00","2,896.00","-25.75","-0.88","1.25","36.30","4,067.40","1,458.25","96.96","-3.46"
"MASTEK","2,800.00","2,824.70","2,742.10","2,765.95","-25.05","-0.90","0.37","10.22","3,669.00","802.20","158.50","-4.39"
"ALEMBICLTD","105.00","106.80","101.70","103.50","-0.95","-0.91","1.79","1.86","143.30","90.35","0.15","-5.61"
"FINCABLES","591.45","596.55","579.95","581.95","-5.35","-0.91","2.01","11.76","608.60","308.00","65.75","18.23"
"EDELWEISS","76.65","76.65","74.50","75.80","-0.70","-0.92","15.52","11.70","100.90","56.70","-1.37","-8.95"
"POLYMED","989.00","1,005.00","965.00","980.00","-9.15","-0.93","0.76","7.43","1,165.00","449.25","87.08","8.04"
"CYIENT","1,004.70","1,007.00","978.20","990.40","-9.60","-0.96","0.98","9.75","1,292.00","442.10","107.85","-13.10"
"VALIANTORG","1,082.00","1,098.00","1,080.55","1,081.00","-10.60","-0.97","0.22","2.40","1,991.00","1,003.50","-64.81","-17.30"
"JCHAC","1,958.00","1,982.95","1,940.60","1,945.30","-19.35","-0.98","0.05","1.02","2,940.00","1,774.80","-13.72","-7.97"
"RADICO","1,120.00","1,120.35","1,091.95","1,107.00","-11.15","-1.00","1.43","15.79","1,214.80","422.00","139.69","-0.02"
"CANFINHOME","609.00","609.00","600.00","602.35","-6.35","-1.04","4.23","25.51","722.00","430.00","25.31","-7.68"
"STAR","466.00","467.80","458.15","459.30","-4.85","-1.04","30.66","141.36","999.00","458.15","-46.02","-16.64"
"MAZDOCK","268.90","270.95","265.90","268.00","-2.85","-1.05","2.24","6.02","321.00","188.00","36.80","-14.09"
"DBL","563.00","568.75","558.45","561.00","-5.95","-1.05","0.90","5.05","749.80","341.00","37.48","-6.16"
"POONAWALLA","213.90","217.10","210.40","211.80","-2.30","-1.07","25.77","54.94","226.80","35.75","-","-"
"JUSTDIAL","830.00","897.40","817.45","832.95","-9.20","-1.09","59.36","509.97","1,138.00","562.50","34.07","7.27"
"SUNTECK","439.50","444.20","432.00","435.00","-5.15","-1.17","3.42","15.04","524.40","250.00","33.07","-10.95"
